HPM20_mon output - time series of water dynamics - units: depth/thickness: m or m/y; time: y 
 time  annWTD   annPPT   annSnow  annRain  annSublim  annAET   annPET   annRUNOFF annRUNON   annNetWatIn  
  118.5    0.04000    0.48224    0.24205    0.24351    0.07875    0.00000    0.00000    0.00000    0.00000    0.00000   
  119.5    0.04000    0.48711    0.21623    0.26668    0.07403    0.00000    0.00000    0.00000    0.00000    0.00000   
  120.5    0.04000    0.36273    0.21635    0.14704    0.07686    0.00000    0.00000    0.00000    0.00000    0.00000   
  121.5    0.04000    0.51450    0.23561    0.27848    0.07167    0.00000    0.00000    0.00000    0.00000    0.00000   
  122.5    0.04000    0.55388    0.18678    0.36294    0.08188    0.00000    0.00000    0.00000    0.00000    0.00000   
  123.5    0.04000    0.43845    0.20369    0.23556    0.07557    0.00000    0.00000    0.00000    0.00000    0.00000   
  124.5    0.04000    0.45792    0.18492    0.27235    0.08319    0.00000    0.00000    0.00000    0.00000    0.00000   
  125.5    0.04000    0.38330    0.17079    0.21665    0.06100    0.00000    0.00000    0.00000    0.00000    0.00000   
  126.5    0.04000    0.41090    0.21129    0.19495    0.04108    0.00000    0.00000    0.00000    0.00000    0.00000   
  127.5    0.04000    0.45035    0.19659    0.25430    0.05965    0.00000    0.00000    0.00000    0.00000    0.00000   
  128.5    0.04000    0.42086    0.21648    0.20585    0.07085    0.00000    0.00000    0.00000    0.00000    0.00000   
  129.5    0.04000    0.44083    0.20273    0.24252    0.06850    0.00000    0.00000    0.00000    0.00000    0.00000   
  130.5    0.04000    0.46517    0.18049    0.28564    0.07349    0.00000    0.00000    0.00000    0.00000    0.00000   
  131.5    0.04000    0.34826    0.15949    0.18967    0.06416    0.00000    0.00000    0.00000    0.00000    0.00000   
  132.5    0.04000    0.40718    0.14832    0.26355    0.07592    0.00000    0.00000    0.00000    0.00000    0.00000   
  133.5    0.04000    0.43880    0.17142    0.26812    0.06071    0.00000    0.00000    0.00000    0.00000    0.00000   
  134.5    0.04000    0.44900    0.21895    0.22943    0.06543    0.00000    0.00000    0.00000    0.00000    0.00000   
  135.5    0.04000    0.48924    0.21579    0.27621    0.08013    0.00000    0.00000    0.00000    0.00000    0.00000   
  136.5    0.04000    0.54414    0.24409    0.29319    0.07496    0.00000    0.00000    0.00000    0.00000    0.00000   
  137.5    0.04000    0.50468    0.26345    0.24560    0.06606    0.00000    0.00000    0.00000    0.00000    0.00000   
  138.5    0.04000    0.43525    0.17342    0.26725    0.07535    0.00000    0.00000    0.00000    0.00000    0.00000   
  139.5    0.04000    0.47333    0.17230    0.30390    0.05894    0.00000    0.00000    0.00000    0.00000    0.00000   
  140.5    0.04000    0.48875    0.24147    0.24618    0.07167    0.00000    0.00000    0.00000    0.00000    0.00000   
  141.5    0.04000    0.50632    0.22605    0.28337    0.07346    0.00000    0.00000    0.00000    0.00000    0.00000   
  142.5    0.04000    0.46962    0.18402    0.28356    0.06008    0.00000    0.00000    0.00000    0.00000    0.00000   
  143.5    0.04000    0.45999    0.21037    0.25165    0.07767    0.00000    0.00000    0.00000    0.00000    0.00000   
  144.5    0.04000    0.45421    0.21601    0.23954    0.05956    0.00000    0.00000    0.00000    0.00000    0.00000   
  145.5    0.04000    0.42061    0.18715    0.23788    0.07104    0.00000    0.00000    0.00000    0.00000    0.00000   
  146.5    0.04000    0.49106    0.19609    0.29395    0.07791    0.00000    0.00000    0.00000    0.00000    0.00000   
  147.5    0.04000    0.48605    0.21603    0.26792    0.06757    0.00000    0.00000    0.00000    0.00000    0.00000   
  148.5    0.04000    0.42117    0.16729    0.25522    0.05673    0.00000    0.00000    0.00000    0.00000    0.00000   
