"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6558,10,0.027668,-1.89497
6558,11,0.0286591,-19.1353
6558,12,0.0211626,-36.4008
6557,1,0.0174431,-38.2487
6557,2,0.0207263,-27.0267
6557,3,0.0176556,-19.1299
6557,4,0.0178155,-3.67205
6557,5,0.0235814,2.31199
6557,6,0.0589562,10.4202
6557,7,0.0752884,15.8471
6557,8,0.0726669,13.5568
6557,9,0.0551779,5.35032
6557,10,0.0387669,-2.53752
6557,11,0.0187145,-22.5139
6557,12,0.024976,-31.3861
6556,1,0.0173689,-34.9825
6556,2,0.0242069,-17.5041
6556,3,0.0175777,-17.4225
6556,4,0.0230884,-3.99767
6556,5,0.0321027,4.24076
6556,6,0.0597818,9.47379
6556,7,0.0615281,14.4393
6556,8,0.0480456,15.0406
6556,9,0.0341388,4.95717
6556,10,0.0369197,-0.87486
6556,11,0.0206987,-10.1791
6556,12,0.0262582,-22.4876
6555,1,0.0223777,-29.2393
6555,2,0.0155792,-22.5739
6555,3,0.0230465,-10.7523
6555,4,0.0191568,-8.25585
6555,5,0.0303163,3.1865
6555,6,0.0725986,11.3205
6555,7,0.081099,15.5063
6555,8,0.0430132,14.0268
6555,9,0.0546162,7.29799
6555,10,0.0329692,0.645709
6555,11,0.0196731,-22.2412
6555,12,0.013955,-32.691
6554,1,0.0116937,-31.7032
6554,2,0.0150699,-21.433
6554,3,0.0103251,-18.6998
6554,4,0.0217442,-8.98028
6554,5,0.026169,2.44333
6554,6,0.0447013,10.0429
6554,7,0.0586497,14.9913
6554,8,0.0407652,14.0232
6554,9,0.0452003,7.87162
6554,10,0.0239743,-3.57887
6554,11,0.031355,-7.1395
6554,12,0.0232395,-28.4947
6553,1,0.0191485,-30.4742
6553,2,0.0151187,-23.8222
6553,3,0.0152545,-20.9815
6553,4,0.0262021,-6.92608
6553,5,0.0287806,0.129185
6553,6,0.0295139,11.4227
6553,7,0.0765873,14.035
6553,8,0.0423325,15.6145
6553,9,0.0531196,3.8585
6553,10,0.0429536,-8.01799
6553,11,0.0225777,-18.4517
6553,12,0.0182002,-18.123
6552,1,0.0168343,-30.704
6552,2,0.0119726,-18.4552
6552,3,0.0225086,-20.5588
6552,4,0.0157032,-9.28658
6552,5,0.0456143,0.878788
6552,6,0.0314897,10.7428
6552,7,0.0880453,17.228
6552,8,0.0297492,15.6591
6552,9,0.048067,6.3817
6552,10,0.0200788,-2.86467
6552,11,0.0360398,-13.7542
6552,12,0.0163965,-31.2561
6551,1,0.0215899,-22.9619
6551,2,0.0172942,-19.9773
6551,3,0.0267229,-12.3649
6551,4,0.017823,-11.6694
6551,5,0.0268823,1.02869
