"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7741,12,0.0266102,-17.9817
7740,1,0.0374338,-26.582
7740,2,0.0184674,-23.5504
7740,3,0.0297211,-15.3868
7740,4,0.0545632,-8.9372
7740,5,0.0362651,3.29585
7740,6,0.0472386,16.4758
7740,7,0.137844,18.812
7740,8,0.0641495,16.327
7740,9,0.0643399,11.3279
7740,10,0.0532855,0.184752
7740,11,0.0505431,-17.4884
7740,12,0.023375,-29.8064
7739,1,0.0361648,-28.9594
7739,2,0.0170008,-29.7788
7739,3,0.0174314,-13.3646
7739,4,0.027165,-0.75318
7739,5,0.0552555,5.49241
7739,6,0.0851881,14.6307
7739,7,0.0908402,19.6511
7739,8,0.163523,16.6638
7739,9,0.0165259,10.0093
7739,10,0.0366904,2.55835
7739,11,0.0380387,-11.0449
7739,12,0.0251334,-18.1245
7738,1,0.0227903,-25.4815
7738,2,0.0331748,-15.3272
7738,3,0.0281967,-13.8736
7738,4,0.0392005,-4.30753
7738,5,0.0690455,7.47404
7738,6,0.0562056,18.31
7738,7,0.133519,21.3201
7738,8,0.0599846,17.4052
7738,9,0.0570322,11.1307
7738,10,0.0963243,-0.951356
7738,11,0.036981,-16.4168
7738,12,0.0130367,-30.9035
7737,1,0.0245098,-23.1427
7737,2,0.0158499,-26.0817
7737,3,0.0275904,-12.4679
7737,4,0.0261807,-1.31055
7737,5,0.0502148,5.48237
7737,6,0.101296,13.8347
7737,7,0.107273,21.1643
7737,8,0.0987264,17.1258
7737,9,0.0544254,10.8496
7737,10,0.0424455,-1.02499
7737,11,0.0344444,-17.2467
7737,12,0.0262243,-28.6908
7736,1,0.0264935,-22.863
7736,2,0.00545726,-30.2544
7736,3,0.0327848,-15.6248
7736,4,0.0482567,-7.64542
7736,5,0.0355679,4.95674
7736,6,0.0605955,13.5363
7736,7,0.11277,20.1271
7736,8,0.122701,17.0135
7736,9,0.10604,11.3916
7736,10,0.0470584,2.68741
7736,11,0.0458926,-13.2682
7736,12,0.0166294,-24.5946
7735,1,0.0423416,-25.5906
7735,2,0.0136106,-26.7597
7735,3,0.0411219,-14.0035
7735,4,0.0193686,-0.898413
7735,5,0.024842,12.3867
7735,6,0.0839898,17.5261
7735,7,0.0736474,19.0671
7735,8,0.0396048,17.8148
7735,9,0.0792107,9.93003
7735,10,0.0321017,2.15375
7735,11,0.0374729,-8.79394
7735,12,0.0265559,-20.9831
7734,1,0.0263824,-31.9958
7734,2,0.00830313,-29.4303
7734,3,0.0275623,-12.8618
7734,4,0.0284203,-9.76627
7734,5,0.0223059,1.17637
7734,6,0.0393503,15.7357
7734,7,0.127723,19.8464
7734,8,0.0858485,17.0529
7734,9,0.0867236,5.54716
7734,10,0.0690673,1.46381
7734,11,0.0344935,-19.2313
7734,12,0.0374216,-27.0358
7733,1,0.0197293,-23.8498
7733,2,0.0239685,-19.5384
7733,3,0.0224414,-17.3004
7733,4,0.0368675,-8.77216
7733,5,0.0301151,2.23024
7733,6,0.0418635,14.0427
7733,7,0.0774135,20.2279
7733,8,0.0519676,17.3392
7733,9,0.0468038,12.3123
7733,10,0.0454641,1.86432
7733,11,0.0318516,-13.3292
7733,12,0.022474,-28.786
7732,1,0.0411228,-26.8483
7732,2,0.0162726,-23.4845
7732,3,0.0232329,-21.0877
7732,4,0.0207062,-12.43
7732,5,0.0360531,3.68452
7732,6,0.0910403,17.78
7732,7,0.165416,19.3036
7732,8,0.131935,19.0868
7732,9,0.0631354,12.4596
7732,10,0.0517125,1.92535
7732,11,0.0603746,-14.2828
7732,12,0.0229398,-34.9165
7731,1,0.0590282,-31.2751
7731,2,0.0212993,-24.8127
7731,3,0.0319631,-10.8794
7731,4,0.0236941,-10.1135
7731,5,0.0460394,3.0048
7731,6,0.115623,14.5822
7731,7,0.175953,19.6038
7731,8,0.0585506,19.6338
7731,9,0.0542068,12.5487
7731,10,0.0596696,2.75467
7731,11,0.0302299,-11.5626
7731,12,0.0430653,-36.8265
7730,1,0.0486768,-24.5052
7730,2,0.0162635,-21.8179
7730,3,0.0321608,-14.6241
7730,4,0.0199196,-6.41926
7730,5,0.0995062,5.06419
7730,6,0.122702,13.7616
7730,7,0.131524,20.2879
7730,8,0.0802558,18.2969
7730,9,0.0843982,9.18647
7730,10,0.0310324,0.659087
7730,11,0.0484958,-22.9853
7730,12,0.0215009,-25.4811
7729,1,0.0320794,-24.1482
7729,2,0.0220956,-24.3106
7729,3,0.0202015,-15.5504
7729,4,0.0271361,-5.73252
7729,5,0.0542161,4.47297
7729,6,0.139151,13.2695
7729,7,0.105219,21.1975
7729,8,0.0743284,18.2346
7729,9,0.0345247,9.92173
7729,10,0.0637278,-0.651368
7729,11,0.0352995,-7.5964
7729,12,0.0203176,-25.4555
7728,1,0.0283508,-26.2722
7728,2,0.0171939,-27.4312
7728,3,0.0344379,-20.7969
7728,4,0.0237863,-6.99582
7728,5,0.0634556,5.24177
7728,6,0.0477094,15.4398
7728,7,0.128216,20.6396
7728,8,0.114812,15.4986
7728,9,0.0772263,10.8508
7728,10,0.0334011,-0.108064
7728,11,0.0392264,-12.8242
7728,12,0.0274063,-22.5232
7727,1,0.0185144,-26.6863
7727,2,0.0149018,-20.4612
7727,3,0.019584,-9.93964
7727,4,0.046964,-6.86945
7727,5,0.048616,5.0916
7727,6,0.0367677,14.2626
7727,7,0.100448,20.5442
7727,8,0.155424,15.1474
7727,9,0.063801,12.3224
7727,10,0.0452299,1.76526
7727,11,0.036984,-17.2969
7727,12,0.0215281,-24.578
7726,1,0.0434325,-15.7535
7726,2,0.0250502,-27.2322
7726,3,0.026598,-13.9464
7726,4,0.0193402,-7.51551
7726,5,0.0522676,6.16487
7726,6,0.0641182,15.2155
7726,7,0.0717934,19.9569
7726,8,0.0817348,17.7571
7726,9,0.0527687,9.59937
7726,10,0.0539939,1.85409
7726,11,0.044673,-9.35998
7726,12,0.0292161,-20.1685
7725,1,0.0206634,-27.9135
7725,2,0.0169424,-16.2117
7725,3,0.0331039,-19.8325
7725,4,0.0329723,-5.02707
7725,5,0.0682144,7.44023
