"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6591,8,0.0400573,10.7904
6591,9,0.0270201,1.22872
6591,10,0.0245299,-10.8202
6591,11,0.00596517,-28.9152
6591,12,0.00463915,-32.0834
6590,1,0.00590618,-33.0325
6590,2,0.00628189,-36.2373
6590,3,0.00507932,-36.8261
6590,4,0.0101071,-19.4118
6590,5,0.00743391,-8.09352
6590,6,0.0229073,5.14962
6590,7,0.0450526,10.0851
6590,8,0.0241732,10.6292
6590,9,0.0255655,2.99169
6590,10,0.026431,-7.31702
6590,11,0.00961288,-31.7593
6590,12,0.00238143,-34.8585
6589,1,0.00357935,-38.1541
6589,2,0.0157097,-31.5848
6589,3,0.0083907,-29.7923
6589,4,0.00758649,-20.7465
6589,5,0.0102,-9.10621
6589,6,0.0175429,3.44018
6589,7,0.0414428,10.9644
6589,8,0.0217509,11.5329
6589,9,0.0281562,2.36562
6589,10,0.0206139,-9.54975
6589,11,0.0127784,-19.7795
6589,12,0.00430808,-34.5069
6588,1,0.00700408,-38.1533
6588,2,0.00700438,-29.8852
6588,3,0.00842268,-25.096
6588,4,0.00645754,-23.6428
6588,5,0.00895938,-8.08814
6588,6,0.0255901,5.34939
6588,7,0.0247786,11.0215
6588,8,0.0289851,8.66193
6588,9,0.0215524,2.57226
6588,10,0.0101968,-14.6054
6588,11,0.00924854,-21.349
6588,12,0.00854403,-29.6709
6587,1,0.00453259,-42.0786
6587,2,0.00508399,-35.4169
6587,3,0.00573551,-37.4807
6587,4,0.00929421,-24.4434
6587,5,0.0157158,-11.8702
6587,6,0.0166861,3.75783
6587,7,0.039077,10.9183
6587,8,0.032684,9.33115
6587,9,0.0276802,0.696404
6587,10,0.0226961,-6.99433
6587,11,0.00462978,-27.723
6587,12,0.00785085,-26.753
6586,1,0.00632007,-26.6719
6586,2,0.00940688,-27.9458
6586,3,0.00706791,-33.2358
6586,4,0.00552979,-21.1515
6586,5,0.0170825,-7.94291
6586,6,0.0217049,3.54772
6586,7,0.0133269,13.8202
6586,8,0.0238832,8.87934
6586,9,0.0358124,0.501794
6586,10,0.0183003,-4.76319
6586,11,0.0163884,-18.4083
6586,12,0.00459288,-32.8591
6585,1,0.00925459,-37.4063
6585,2,0.00733228,-35.5551
6585,3,0.00477032,-35.1991
6585,4,0.0067827,-22.9582
6585,5,0.0134626,-8.30528
6585,6,0.0280832,0.457328
6585,7,0.0326018,12.5037
6585,8,0.0416241,8.3079
6585,9,0.0113559,-0.364478
6585,10,0.0162449,-10.117
6585,11,0.0150148,-18.6321
6585,12,0.00750252,-29.5648
6584,1,0.00779329,-30.2091
6584,2,0.00659939,-36.7721
6584,3,0.0119454,-29.1029
6584,4,0.00698748,-22.3247
6584,5,0.00844374,-10.8193
6584,6,0.0112169,3.92116
6584,7,0.0303572,10.3739
6584,8,0.0222867,10.1963
6584,9,0.0327894,-1.54304
6584,10,0.0136857,-15.2848
6584,11,0.00885171,-22.8382
6584,12,0.0111411,-26.4245
6583,1,0.00474214,-38.6397
6583,2,0.00508278,-32.0056
6583,3,0.0146127,-27.9858
6583,4,0.0115572,-19.2984
6583,5,0.00974313,-11.05
6583,6,0.0150974,2.26147
6583,7,0.0359903,11.8785
6583,8,0.0310337,10.631
6583,9,0.0237855,1.83093
6583,10,0.0203051,-11.8145
6583,11,0.00753825,-31.5103
6583,12,0.00995401,-29.8784
6582,1,0.00699146,-35.7877
6582,2,0.0128355,-26.166
6582,3,0.00632993,-25.3937
6582,4,0.00648455,-27.2933
6582,5,0.0103725,-9.22508
6582,6,0.017924,1.9616
6582,7,0.0344127,11.5668
6582,8,0.0263034,7.41203
6582,9,0.0354291,0.14367
6582,10,0.0136086,-16.513
6582,11,0.00961892,-16.9119
6582,12,0.00772541,-28.5907
6581,1,0.0121139,-31.6099
6581,2,0.00785544,-32.5757
6581,3,0.0100612,-25.5264
6581,4,0.00718917,-17.9091
6581,5,0.00919737,-9.8682
6581,6,0.0190623,4.15743
6581,7,0.0329529,10.1583
6581,8,0.0264952,9.22428
6581,9,0.0239964,1.23757
6581,10,0.0181329,-11.7124
6581,11,0.00892225,-20.5174
6581,12,0.00694485,-36.1054
6580,1,0.00698897,-42.0601
6580,2,0.00944753,-37.7336
6580,3,0.00525884,-41.293
6580,4,0.00767512,-20.6609
6580,5,0.0086321,-8.77067
6580,6,0.0168619,4.1199
6580,7,0.0224867,10.0313
6580,8,0.0382174,9.46629
6580,9,0.0250352,0.777001
6580,10,0.0224432,-4.23252
6580,11,0.0144007,-27.1057
6580,12,0.00873897,-25.7287
6579,1,0.00678111,-36.9069
6579,2,0.00623171,-27.7577
6579,3,0.00333101,-38.6866
6579,4,0.00711872,-22.4537
6579,5,0.0110012,-10.2996
6579,6,0.0205262,4.36266
6579,7,0.0314425,9.34315
6579,8,0.0324253,8.74494
6579,9,0.0258605,2.01711
6579,10,0.022752,-12.1967
6579,11,0.00786979,-28.8151
6579,12,0.00565273,-34.0004
6578,1,0.0039896,-31.3822
6578,2,0.00417747,-42.2926
6578,3,0.00968709,-29.7128
6578,4,0.00663523,-19.1484
6578,5,0.0105019,-7.5673
6578,6,0.0197631,3.74764
6578,7,0.0290383,9.57068
6578,8,0.0195197,9.20097
6578,9,0.0309486,-1.0875
6578,10,0.0150387,-10.502
6578,11,0.00974116,-22.8496
6578,12,0.00356193,-37.87
6577,1,0.00607478,-30.5061
6577,2,0.00903199,-20.1206
6577,3,0.00435029,-33.0907
6577,4,0.00818798,-20.1942
6577,5,0.00770877,-13.1618
6577,6,0.0211441,1.14638
6577,7,0.0325265,8.46763
6577,8,0.042577,8.02726
6577,9,0.0327632,-1.2056
6577,10,0.0210396,-10.0788
6577,11,0.0161573,-26.1652
6577,12,0.00689599,-28.435
6576,1,0.0061274,-39.7124
6576,2,0.00319448,-36.9212
6576,3,0.00606466,-33.0619
6576,4,0.0131477,-14.7631
6576,5,0.0139,-6.94337
6576,6,0.0100548,5.22124
6576,7,0.0394212,11.8724
6576,8,0.0417578,9.05009
6576,9,0.0228313,-0.183631
6576,10,0.019641,-12.6413
6576,11,0.0162546,-17.5798
6576,12,0.00701477,-30.8925
6575,1,0.00848237,-25.2214
6575,2,0.00641107,-36.4824
6575,3,0.00850284,-30.6542
6575,4,0.00562913,-21.8001
6575,5,0.0121093,-7.11006
6575,6,0.0222658,5.36101
6575,7,0.047838,10.1171
6575,8,0.0305488,9.04884
6575,9,0.0248397,-3.74934
6575,10,0.018973,-17.4519
6575,11,0.00970782,-28.3894
6575,12,0.00592138,-28.4
6574,1,0.0065753,-33.1117
6574,2,0.00310227,-40.203
6574,3,0.00714212,-36.3309
6574,4,0.00563412,-22.24
6574,5,0.00722677,-6.86469
6574,6,0.0214712,6.54162
6574,7,0.0352822,11.7808
6574,8,0.0395007,8.15733
6574,9,0.0154303,0.290398
6574,10,0.0155082,-15.2177
6574,11,0.0144321,-24.2734
6574,12,0.00839364,-33.4133
6573,1,0.00805128,-34.9441
6573,2,0.00419666,-38.2503
6573,3,0.00414638,-36.7322
6573,4,0.00637802,-24.2535
6573,5,0.00921117,-10.3576
6573,6,0.018054,3.23153
6573,7,0.0313453,13.0933
6573,8,0.0210951,9.77921
6573,9,0.0130397,2.55077
6573,10,0.0180785,-11.9034
6573,11,0.00681902,-35.638
6573,12,0.00996325,-31.5167
6572,1,0.00617472,-38.5289
6572,2,0.0119633,-27.0413
6572,3,0.00803534,-30.0028
6572,4,0.00904899,-21.183
6572,5,0.0105341,-7.43546
6572,6,0.0177728,5.63567
6572,7,0.0408764,11.5327
6572,8,0.0248234,10.9781
6572,9,0.0224487,-1.74967
6572,10,0.0162041,-6.39884
6572,11,0.00883802,-26.1952
6572,12,0.00843788,-37.79
6571,1,0.00845786,-33.085
6571,2,0.00702121,-33.2902
6571,3,0.00391459,-33.8913
6571,4,0.00566442,-21.3524
6571,5,0.00957602,-8.72926
6571,6,0.0140572,5.83565
6571,7,0.0609744,11.4203
6571,8,0.0259158,8.34458
6571,9,0.0178101,1.14575
6571,10,0.0193938,-13.0345
6571,11,0.0127074,-22.7286
6571,12,0.00738551,-33.7869
6570,1,0.00433915,-38.767
6570,2,0.00826159,-33.0743
6570,3,0.010209,-31.6463
6570,4,0.00865268,-21.0709
6570,5,0.00755959,-8.65699
6570,6,0.0183215,5.3023
6570,7,0.0385183,11.9423
6570,8,0.0379735,10.1287
6570,9,0.0217949,-0.604347
6570,10,0.0157317,-8.23807
6570,11,0.0105906,-24.0907
6570,12,0.00793342,-30.8196
6569,1,0.00346291,-42.5883
6569,2,0.00979661,-36.8668
6569,3,0.00493758,-33.9509
6569,4,0.00997328,-22.0456
6569,5,0.0104303,-6.96156
6569,6,0.0133462,5.77779
6569,7,0.0214749,12.5818
6569,8,0.0199266,9.89698
6569,9,0.0193743,0.907555
6569,10,0.0157554,-11.961
6569,11,0.0118619,-21.8782
6569,12,0.0104641,-29.1892
6568,1,0.00319202,-37.4683
6568,2,0.00967933,-34.2635
6568,3,0.0125363,-31.3483
6568,4,0.00796158,-23.2988
6568,5,0.00831555,-5.95985
6568,6,0.0255384,5.29659
6568,7,0.0252095,14.7285
6568,8,0.0323889,9.39109
6568,9,0.033092,4.04458
6568,10,0.0267405,-5.76572
6568,11,0.00585361,-33.2054
6568,12,0.00662041,-30.5803
6567,1,0.00689425,-34.0324
6567,2,0.00616163,-26.8541
6567,3,0.00567193,-32.6516
6567,4,0.010524,-16.5232
6567,5,0.0118973,-7.387
6567,6,0.0276349,5.54388
6567,7,0.0224099,10.4403
6567,8,0.0127721,10.2461
6567,9,0.0258021,-1.04871
6567,10,0.026565,-5.52829
6567,11,0.014754,-16.8722
6567,12,0.0106776,-29.2288
6566,1,0.00547206,-35.9734
6566,2,0.00411487,-33.6081
6566,3,0.00584173,-30.5325
6566,4,0.00689443,-21.3837
6566,5,0.0129368,-5.66981
6566,6,0.0488529,6.10894
6566,7,0.0361781,9.90207
6566,8,0.0418925,8.65409
6566,9,0.0279493,2.04684
6566,10,0.0251499,-12.8334
6566,11,0.0132321,-26.3069
6566,12,0.00826726,-24.667
6565,1,0.00740616,-32.5551
6565,2,0.00648747,-34.4305
6565,3,0.0060518,-34.1191
6565,4,0.00751998,-17.0076
6565,5,0.00624591,-10.1815
6565,6,0.0151738,2.03326
6565,7,0.0441567,11.4712
6565,8,0.031921,8.44337
6565,9,0.0180086,0.288201
6565,10,0.0167389,-12.0989
6565,11,0.0120155,-27.5319
6565,12,0.00547284,-39.7794
6564,1,0.00609796,-36.0468
6564,2,0.00568717,-37.2728
6564,3,0.00555996,-31.5475
