"years_forcing","months_forcing","precipforc_1","tsaforc_1"
7720,2,0.0144558,-23.2292
7720,3,0.0105684,-28.0926
7720,4,0.00958348,-17.4969
7720,5,0.012742,-6.5066
7720,6,0.0226879,8.14994
7720,7,0.0249329,12.4725
7720,8,0.0370562,11.2509
7720,9,0.0233496,2.00017
7720,10,0.0252277,-13.0459
7720,11,0.0124283,-24.2636
7720,12,0.00821111,-35.2318
7719,1,0.0130211,-32.6079
7719,2,0.0119691,-34.2969
7719,3,0.0101,-22.6396
7719,4,0.0140249,-21.17
7719,5,0.0170844,-4.82032
7719,6,0.0251298,6.62543
7719,7,0.0405992,12.6032
7719,8,0.0549725,10.3126
7719,9,0.0187064,2.74764
7719,10,0.0288492,-7.44497
7719,11,0.0129548,-18.5581
7719,12,0.0113938,-33.4252
7718,1,0.00605742,-36.7639
7718,2,0.00437417,-41.9972
7718,3,0.00636338,-24.4063
7718,4,0.00915127,-19.7757
7718,5,0.0137722,-3.44538
7718,6,0.0155994,9.53653
7718,7,0.036204,14.5407
7718,8,0.0471632,11.2154
7718,9,0.030283,2.74831
7718,10,0.0226158,-5.88858
7718,11,0.0129734,-22.652
7718,12,0.00869227,-32.0544
7717,1,0.00911594,-23.6952
7717,2,0.0101723,-19.1591
7717,3,0.0123335,-26.216
7717,4,0.0133855,-18.5022
7717,5,0.0115343,-7.38658
7717,6,0.0232725,7.24063
7717,7,0.0284692,16.1249
7717,8,0.0338722,10.5868
7717,9,0.0229609,2.19527
7717,10,0.0242952,-5.92209
7717,11,0.0200904,-23.073
7717,12,0.0073326,-40.4973
7716,1,0.0118929,-36.9037
7716,2,0.0020958,-45.7381
7716,3,0.0105138,-33.6646
7716,4,0.0105001,-14.9036
7716,5,0.0114672,-6.07545
7716,6,0.0276255,8.1261
7716,7,0.025445,13.2455
7716,8,0.0366954,11.6943
7716,9,0.0284947,3.4721
7716,10,0.0267769,-9.98999
7716,11,0.0119159,-20.1368
7716,12,0.00686065,-39.5575
7715,1,0.00890875,-31.9911
7715,2,0.00844598,-29.4016
7715,3,0.00538647,-31.1789
7715,4,0.0101379,-14.4473
7715,5,0.0101718,-2.65361
7715,6,0.0174807,10.7155
7715,7,0.0325688,14.9476
7715,8,0.0354795,12.8749
7715,9,0.039336,2.87145
7715,10,0.0222478,-7.12985
7715,11,0.0138482,-22.6482
7715,12,0.00591256,-36.2687
7714,1,0.00429164,-44.8938
7714,2,0.0113053,-25.4208
7714,3,0.00530066,-31.5278
7714,4,0.00833439,-20.7388
7714,5,0.0148242,-2.1323
7714,6,0.0188234,9.2135
7714,7,0.0257231,15.4759
7714,8,0.0320407,10.6618
7714,9,0.0244525,0.702626
7714,10,0.0252286,-5.69671
7714,11,0.00834964,-26.4053
7714,12,0.0103893,-35.8912
7713,1,0.00782207,-33.3604
7713,2,0.00988581,-32.1353
7713,3,0.00531067,-32.925
7713,4,0.00779337,-19.5173
7713,5,0.0178152,-6.65382
7713,6,0.011286,7.56684
7713,7,0.024537,13.2445
7713,8,0.0387344,11.1113
7713,9,0.0255048,6.07872
7713,10,0.0135498,-12.6925
7713,11,0.0137827,-25.1956
7713,12,0.00682507,-32.8053
7712,1,0.0146647,-28.9414
7712,2,0.00732794,-37.0821
7712,3,0.0116446,-27.9993
7712,4,0.0128139,-15.339
7712,5,0.0111909,-6.82606
7712,6,0.0225235,6.901
7712,7,0.0786632,13.94
7712,8,0.0239445,12.251
7712,9,0.0227029,0.501118
7712,10,0.0160387,-14.8746
7712,11,0.0137337,-16.6278
7712,12,0.00665935,-36.7955
7711,1,0.00750103,-29.1236
7711,2,0.0053162,-36.0072
7711,3,0.00431874,-34.5182
7711,4,0.00813478,-17.6642
7711,5,0.0147698,-4.52934
7711,6,0.0281758,9.22831
7711,7,0.0291368,15.8809
7711,8,0.029531,12.1155
7711,9,0.0318594,2.72866
7711,10,0.0252199,-8.54559
7711,11,0.0188311,-26.1181
7711,12,0.00938319,-38.7545
7710,1,0.00779573,-29.1651
7710,2,0.00859803,-24.6656
7710,3,0.00816639,-25.9557
7710,4,0.00623026,-19.7971
7710,5,0.0135713,-3.71205
7710,6,0.0200591,8.80051
7710,7,0.0265567,13.7395
7710,8,0.0392045,11.4726
7710,9,0.0259843,3.77819
7710,10,0.0197405,-7.9599
7710,11,0.0186102,-27.9231
7710,12,0.0193939,-25.389
7709,1,0.00681638,-34.0905
7709,2,0.00556806,-36.2308
7709,3,0.0035501,-33.6665
7709,4,0.0108993,-15.7697
7709,5,0.0209203,-1.1855
7709,6,0.016388,9.91187
7709,7,0.0417766,13.1537
7709,8,0.0352035,10.2557
7709,9,0.0324238,2.4764
7709,10,0.0171811,-15.6132
7709,11,0.00842257,-34.1525
7709,12,0.0082591,-22.8862
7708,1,0.0123834,-27.1358
7708,2,0.00507017,-34.2269
7708,3,0.00899054,-33.8356
7708,4,0.00984697,-18.0616
7708,5,0.0109332,-8.4445
7708,6,0.0323716,8.81189
7708,7,0.0307836,14.2472
7708,8,0.0299194,11.4475
7708,9,0.0239977,1.06755
7708,10,0.0134399,-8.48434
7708,11,0.0147,-28.6629
7708,12,0.00894227,-39.7082
7707,1,0.00755278,-40.8655
7707,2,0.00298431,-40.9355
7707,3,0.00728299,-35.5208
7707,4,0.0086903,-22.0645
7707,5,0.0127687,-4.42829
7707,6,0.0260861,8.01468
7707,7,0.0341593,12.8148
7707,8,0.0281515,12.2037
7707,9,0.0249033,0.761433
7707,10,0.0211056,-14.5001
7707,11,0.0103332,-20.9745
7707,12,0.00533986,-41.18
7706,1,0.00293607,-41.3817
7706,2,0.0154372,-24.3244
7706,3,0.0101326,-29.638
7706,4,0.00696588,-17.3731
7706,5,0.0105327,-6.32508
7706,6,0.027225,6.34882
7706,7,0.0212901,15.1923
7706,8,0.051197,11.1575
7706,9,0.0476588,3.02816
7706,10,0.0362458,-8.54553
7706,11,0.00857315,-32.8083
7706,12,0.0113789,-24.2392
7705,1,0.00578514,-35.488
7705,2,0.0105928,-29.9127
7705,3,0.0107799,-31.3267
7705,4,0.00945624,-21.0296
7705,5,0.00802595,-10.1601
7705,6,0.0151235,5.51612
7705,7,0.0286769,14.1519
7705,8,0.0265272,10.6584
7705,9,0.0297991,2.54088
7705,10,0.0254367,-6.64709
7705,11,0.0171923,-28.1001
7705,12,0.0069035,-31.4974
7704,1,0.00412707,-45.5376
7704,2,0.0125197,-37.4328
7704,3,0.00518076,-30.5674
7704,4,0.00847872,-21.6484
7704,5,0.00886176,-4.12773
7704,6,0.0289169,6.39078
7704,7,0.0198015,12.904
7704,8,0.0418552,10.4731
7704,9,0.018912,1.48949
7704,10,0.0197957,-7.38217
7704,11,0.0135984,-25.6231
7704,12,0.00643223,-38.2856
7703,1,0.0100564,-24.1465
7703,2,0.00647278,-23.7337
7703,3,0.0133694,-26.9993
7703,4,0.0108592,-17.0584
7703,5,0.00819574,-8.77668
7703,6,0.0165722,5.67258
7703,7,0.0289286,12.7009
7703,8,0.0308471,10.1158
7703,9,0.0241248,2.47338
7703,10,0.0244378,-5.06479
7703,11,0.0127026,-17.2557
7703,12,0.00927737,-34.3191
7702,1,0.00680388,-42.0862
7702,2,0.00524823,-35.4517
7702,3,0.0108242,-30.7126
7702,4,0.0110566,-19.4595
7702,5,0.0130103,-5.71257
7702,6,0.03501,8.53251
7702,7,0.0353143,13.7028
7702,8,0.0302396,9.91541
7702,9,0.0309457,0.202351
7702,10,0.0138291,-17.5942
7702,11,0.0146761,-24.8274
7702,12,0.0109521,-28.3148
7701,1,0.00857905,-31.6394
7701,2,0.00271458,-40.8228
7701,3,0.0140503,-18.4387
7701,4,0.00594203,-20.8026
7701,5,0.0094215,-7.08888
7701,6,0.0241172,7.2779
7701,7,0.03251,13.2928
7701,8,0.0400909,13.2626
7701,9,0.0407553,3.19976
7701,10,0.0160115,-11.6957
7701,11,0.0108252,-24.2713
7701,12,0.0122952,-27.2243
7700,1,0.0100877,-32.94
7700,2,0.00510372,-41.1063
7700,3,0.0154179,-18.1925
7700,4,0.00928702,-18.8167
7700,5,0.00933086,-6.11186
7700,6,0.0361416,8.30512
7700,7,0.0499177,14.7663
7700,8,0.0378133,12.3998
7700,9,0.017441,3.7192
7700,10,0.017426,-5.92422
7700,11,0.0118706,-21.5589
7700,12,0.00615952,-32.6237
7699,1,0.0146168,-27.6111
7699,2,0.0043968,-41.7318
7699,3,0.00831715,-26.6618
7699,4,0.00858287,-19.7533
7699,5,0.0131667,-1.38603
7699,6,0.032924,8.55674
7699,7,0.0223493,12.9939
7699,8,0.0373253,10.8409
7699,9,0.0325617,2.41265
7699,10,0.0195875,-14.4857
7699,11,0.0100485,-18.1953
7699,12,0.00494861,-30.4966
7698,1,0.00524405,-39.6195
7698,2,0.00615574,-32.015
7698,3,0.0112968,-27.7065
7698,4,0.00866199,-20.5984
7698,5,0.0118453,-4.15657
7698,6,0.0221067,7.40696
7698,7,0.0349327,12.2444
7698,8,0.0359613,9.78226
7698,9,0.0282263,4.02272
7698,10,0.0104565,-12.3345
7698,11,0.0152099,-15.7098
7698,12,0.00779085,-30.3531
7697,1,0.00465876,-32.3481
7697,2,0.00744427,-32.1734
7697,3,0.00782788,-29.1541
7697,4,0.0101805,-18.0574
7697,5,0.0144585,-5.05848
7697,6,0.0167852,10.4648
7697,7,0.0243148,16.4568
7697,8,0.0290804,13.3091
7697,9,0.0357266,4.73507
7697,10,0.0172845,-9.94177
7697,11,0.0119974,-26.6584
7697,12,0.0108285,-24.9527
7696,1,0.012902,-20.4885
7696,2,0.0080125,-17.517
7696,3,0.00825086,-19.4304
7696,4,0.012988,-17.1617
7696,5,0.0135805,-7.05806
7696,6,0.027255,6.09952
7696,7,0.0236939,10.7681
7696,8,0.0373995,11.2424
7696,9,0.0237051,4.46077
7696,10,0.0248426,-6.43252
7696,11,0.0151636,-25.1315
7696,12,0.00564813,-35.9778
7695,1,0.00433432,-31.0767
7695,2,0.00891578,-20.4951
7695,3,0.0083921,-25.8196
7695,4,0.00943576,-17.9159
7695,5,0.0149274,-3.6038
7695,6,0.0141292,10.2113
7695,7,0.0293907,14.6409
7695,8,0.0416259,11.5564
7695,9,0.0299686,1.57879
7695,10,0.0183112,-12.8806
7695,11,0.0116048,-21.5832
7695,12,0.0152006,-22.8897
7694,1,0.00724925,-35.4344
7694,2,0.00945546,-36.2644
7694,3,0.00583614,-33.9024
7694,4,0.00795758,-18.2738
7694,5,0.0133301,-2.32347
7694,6,0.0211592,7.20182
7694,7,0.0524151,14.3981
7694,8,0.0440253,11.3794
7694,9,0.0284067,2.12175
7694,10,0.0211845,-9.96197
7694,11,0.0110351,-29.1449
7694,12,0.0138507,-44.2957
7693,1,0.00866759,-36.6882
7693,2,0.00593493,-27.0302
7693,3,0.0101083,-29.1699
7693,4,0.0127946,-16.3443
7693,5,0.0108855,-3.25273
7693,6,0.0150623,7.82627
7693,7,0.0375493,14.801
7693,8,0.0345561,11.9413
7693,9,0.039126,2.16765
7693,10,0.0184773,-11.0657
7693,11,0.00769278,-20.3834
7693,12,0.00763988,-29.1144
7692,1,0.0103471,-29.0756
7692,2,0.0110108,-28.9883
7692,3,0.0123928,-27.0827
7692,4,0.00833408,-17.9889
7692,5,0.0106666,-4.44151
7692,6,0.00626037,11.2129
7692,7,0.0294348,14.6619
7692,8,0.033625,12.4056
7692,9,0.0372311,2.83907
7692,10,0.0182257,-7.94491
7692,11,0.0130559,-22.0021
7692,12,0.00528596,-36.2109
7691,1,0.00858999,-39.3067
7691,2,0.0110002,-36.8985
7691,3,0.00812319,-29.1415
7691,4,0.0117053,-22.1732
7691,5,0.0168076,-7.86619
7691,6,0.0250291,3.03257
7691,7,0.0159792,13.2581
7691,8,0.0232159,12.02
7691,9,0.0203488,1.07796
7691,10,0.0182427,-11.0268
7691,11,0.0123635,-26.7695
7691,12,0.00711342,-32.0404
7690,1,0.00743217,-29.2448
7690,2,0.0131422,-18.4401
7690,3,0.00486675,-27.2195
7690,4,0.0152849,-12.2786
7690,5,0.0203259,-3.1356
7690,6,0.0223939,7.50333
7690,7,0.0325773,10.4259
7690,8,0.0390035,10.9652
7690,9,0.0521491,4.53173
7690,10,0.0242088,-3.28476
7690,11,0.0122198,-22.1865
7690,12,0.0064172,-33.9576
7689,1,0.00570212,-40.0189
7689,2,0.0103269,-35.021
7689,3,0.0100789,-22.2967
7689,4,0.010459,-23.7146
7689,5,0.0131245,-5.90333
7689,6,0.01232,9.17304
7689,7,0.0351359,13.3476
7689,8,0.0437362,11.2846
7689,9,0.0563161,2.70983
7689,10,0.0105432,-12.5379
7689,11,0.0114291,-25.1906
7689,12,0.0133768,-27.2778
7688,1,0.0112084,-34.2456
7688,2,0.00371655,-38.9224
7688,3,0.0104594,-27.2081
7688,4,0.00717537,-20.5098
7688,5,0.0118915,-2.48219
7688,6,0.0192127,7.54081
7688,7,0.0331345,11.7366
7688,8,0.0371164,12.1616
7688,9,0.028482,1.39998
7688,10,0.0260593,-8.62542
7688,11,0.0102197,-25.0339
7688,12,0.00514216,-36.9307
7687,1,0.00647938,-34.3678
7687,2,0.00757797,-33.2313
7687,3,0.0094692,-30.0267
7687,4,0.00745204,-21.2628
7687,5,0.0134334,-6.44416
7687,6,0.0242424,4.87513
7687,7,0.01787,13.7518
7687,8,0.0235263,11.5285
7687,9,0.0313675,-3.95094
7687,10,0.0285371,-16.4041
7687,11,0.0158124,-24.7039
7687,12,0.0086339,-32.603
7686,1,0.00521242,-30.6877
7686,2,0.00700111,-37.2379
7686,3,0.00926128,-26.0164
7686,4,0.015374,-17.0963
7686,5,0.00955563,-4.9149
7686,6,0.0177269,8.53598
7686,7,0.0124011,19.5647
7686,8,0.0365932,11.952
7686,9,0.0202082,4.55428
7686,10,0.0166939,-11.6937
7686,11,0.00829921,-30.373
7686,12,0.00941705,-23.5724
7685,1,0.00553954,-39.2088
7685,2,0.00526271,-39.3387
7685,3,0.0071018,-25.7225
7685,4,0.00820352,-16.9565
7685,5,0.00844477,-3.37214
7685,6,0.0264589,9.21363
7685,7,0.0354993,17.4809
7685,8,0.028339,13.8542
7685,9,0.0336441,4.90609
7685,10,0.0234299,-12.1724
7685,11,0.0116596,-21.4326
7685,12,0.00529346,-33.3919
7684,1,0.00616294,-33.855
7684,2,0.0105355,-28.2586
7684,3,0.00938408,-24.7526
7684,4,0.0107256,-15.8765
7684,5,0.0213702,-4.34147
7684,6,0.0221804,8.94211
7684,7,0.0283083,15.6571
7684,8,0.0231913,12.0749
7684,9,0.0386957,5.82311
7684,10,0.0167481,-2.57971
7684,11,0.0137292,-23.4983
7684,12,0.00893565,-31.6067
7683,1,0.00996593,-31.5807
7683,2,0.0116999,-31.0553
7683,3,0.00885919,-31.2874
7683,4,0.00942755,-14.5186
7683,5,0.0145245,-6.02113
7683,6,0.0258941,5.55036
7683,7,0.0492137,15.7031
7683,8,0.0395903,13.533
7683,9,0.0399381,3.09545
7683,10,0.0234548,-12.7272
7683,11,0.015029,-26.3407
7683,12,0.00778285,-32.861
7682,1,0.00611594,-37.9886
7682,2,0.0108558,-34.2731
7682,3,0.00841773,-26.3098
7682,4,0.00961796,-20.2222
7682,5,0.0076008,-6.59367
7682,6,0.0201536,8.48652
7682,7,0.0367917,14.3099
7682,8,0.0202718,12.5498
7682,9,0.0394329,1.57164
7682,10,0.0228498,-15.4806
7682,11,0.00960781,-31.9198
7682,12,0.00491507,-43.3401
7681,1,0.00963872,-44.3242
7681,2,0.0080239,-37.7487
7681,3,0.0116492,-25.0542
7681,4,0.00920417,-16.0315
7681,5,0.0118123,-5.09718
7681,6,0.023497,4.74872
7681,7,0.0337229,15.5757
7681,8,0.0431726,10.4951
7681,9,0.0300968,1.31658
7681,10,0.02439,-9.74954
7681,11,0.0135297,-16.49
7681,12,0.00864431,-27.0687
7680,1,0.0145027,-21.8207
7680,2,0.012635,-19.7513
